timestamp,real_power
2025-06-01 05:18:48,0
2025-06-01 05:25:18,0
2025-06-01 05:31:49,0
2025-06-01 05:38:15,10
2025-06-01 05:44:41,10
2025-06-01 05:51:06,30
2025-06-01 05:57:34,30
2025-06-01 06:03:59,50
2025-06-01 06:10:28,80
2025-06-01 06:16:53,90
2025-06-01 06:23:18,90
2025-06-01 06:29:44,80
2025-06-01 06:36:10,90
2025-06-01 06:42:37,90
2025-06-01 06:49:03,70
2025-06-01 06:55:28,60
2025-06-01 07:01:53,50
2025-06-01 07:08:18,50
2025-06-01 07:14:44,110
2025-06-01 07:21:09,240
2025-06-01 07:27:37,300
2025-06-01 07:34:02,200
2025-06-01 07:40:28,110
2025-06-01 07:46:53,210
2025-06-01 07:53:18,450
2025-06-01 07:59:45,470
2025-06-01 08:06:10,200
2025-06-01 08:12:36,210
2025-06-01 08:19:00,200
2025-06-01 08:25:27,250
2025-06-01 08:31:56,270
2025-06-01 08:38:19,670
2025-06-01 08:44:46,620
2025-06-01 08:51:12,600
2025-06-01 08:57:37,540
2025-06-01 09:04:02,330
2025-06-01 09:10:28,200
2025-06-01 09:16:54,160
2025-06-01 09:23:19,130
2025-06-01 09:29:44,110
2025-06-01 09:36:09,110
2025-06-01 09:42:36,110
2025-06-01 09:49:01,120
2025-06-01 09:55:26,160
2025-06-01 10:01:51,190
2025-06-01 10:08:17,210
2025-06-01 10:14:44,190
2025-06-01 10:21:09,200
2025-06-01 10:27:36,250
2025-06-01 10:34:01,310
2025-06-01 10:40:28,340
2025-06-01 10:46:52,450
2025-06-01 10:53:18,440
2025-06-01 10:59:45,310
2025-06-01 11:06:10,180
2025-06-01 11:12:37,220
2025-06-01 11:19:03,330
2025-06-01 11:25:28,460
2025-06-01 11:31:54,720
2025-06-01 11:38:18,900
2025-06-01 11:44:44,1040
2025-06-01 11:51:11,770
2025-06-01 11:57:36,1050
2025-06-01 12:04:02,1040
2025-06-01 12:10:28,1040
2025-06-01 12:16:53,1040
